AP/IB,Calculus,Counselors,FracSAT/ACT,black,Hispanic,white,lat,long,gis_x,gis_y,neigh1,neigh2,neigh3,neigh4,neigh5
1.0,1.0,1.0,0.16331658291457288,1,0,0,40.64966201204187,-73.9582039380805,995847.9967358492,175968.536711235,132,105,225,144,41
1.0,1.0,2.0,0.22065727699530516,0,1,0,40.85951528052686,-73.88795775660009,1015242.82255657,252441.9899162,283,99,2,270,64
1.0,0.0,1.0,0.29658792650918636,0,1,0,40.85957635133117,-73.88918291128678,1014903.89561163,252463.80924742,99,283,1,270,64
1.0,0.0,1.0,0.10732984293193717,0,1,0,40.81835919026026,-73.91136771611731,1008782.3972007,237439.88098177305,191,65,156,307,290
1.0,1.0,1.0,0.22838137472283815,0,1,0,40.87802543473587,-73.91325540415205,1008238.37995196,259178.021389352,271,100,305,8,230
1.0,1.0,1.5,0.5365853658536586,0,0,1,40.87476411807943,-73.89514739966005,1013247.39375991,257995.271519485,11,51,52,75,324
1.0,1.0,0.0,0.15633423180592992,1,0,0,40.66562802801845,-73.91186959485964,1008699.4664994,181794.933356778,57,66,302,336,55
1.0,0.0,1.0,0.01098901098901099,0,1,0,40.67783545413146,-74.01422016981877,980305.708664472,186230.467155405,9,202,281,37,332
0.0,0.0,1.0,0.11398963730569948,0,1,0,40.877867508165934,-73.91295340371394,1008321.95240533,259120.565327659,271,230,305,4,100
0.0,0.0,3.0,0.13549337260677466,0,1,0,40.67965394939385,-74.00178931119825,983753.706894391,186892.682217795,202,281,7,37,219
1.0,0.0,0.0,0.12442396313364056,0,1,0,40.71727757718351,-73.98921328291419,987240.174701856,200600.265307077,68,86,88,83,36
0.0,0.0,3.0,0.1483050847457627,0,1,0,40.87075271247328,-73.89738005131738,1012631.65771945,256533.02793498,75,51,324,52,5
1.0,1.0,2.0,0.1487279843444227,0,1,0,40.765746721003424,-73.99310136596391,986160.972513058,218259.006169867,87,85,43,278,82
0.0,0.0,1.0,0.3550561797752809,0,1,0,40.774932741060034,-73.98543005158731,988285.426500398,221606.039536968,343,49,341,159,82
1.0,1.0,2.0,0.15977961432506887,1,0,0,40.68547631964957,-73.95401664020147,997003.081161195,189017.28244632,224,54,312,175,142
1.0,1.0,5.0,0.11446409989594172,0,1,0,40.74859209463717,-73.94682309798773,998984.187333869,212013.4136846,277,249,208,108,107
1.0,0.0,2.0,0.14366197183098592,1,0,0,40.6697645918719,-73.96113025545259,995032.722590544,183292.0937606161,19,81,106,183,41
0.0,0.0,3.0,0.11475409836065574,0,1,0,40.82213893465186,-73.92366202311439,1005378.27520552,238813.773685945,285,284,307,222,344
1.0,0.0,2.0,0.10385259631490787,0,1,0,40.81327864896564,-73.92064492485245,1006216.25008127,235586.395989766,317,247,307,222,24
1.0,1.0,2.0,0.03944315545243619,1,0,0,40.669829630534586,-73.96145000434191,994944.011725062,183315.74999141105,16,106,81,183,41
0.0,0.0,1.4,0.1592920353982301,1,0,0,40.66936199020121,-73.9791114958813,990044.64343487,183143.713125984,47,19,106,16,81
1.0,0.0,2.0,0.17064846416382254,1,0,0,40.68606241896701,-73.78348943957255,1044296.7170688,189301.675737004,250,326,236,62,61
1.0,0.0,1.0,0.15926892950391644,0,1,0,40.69749098670753,-73.9138577006796,1008136.50314555,193402.975812692,117,116,292,58,147
0.0,0.0,3.0,0.026785714285714284,0,1,0,40.76561573826413,-73.82831268455399,1031808.71589458,218257.816253526,274,113,303,35,166
0.0,0.0,1.0,0.12727272727272726,0,1,0,40.81569865945887,-73.93028053744817,1003548.31844298,236465.822638088,200,222,247,18,284
1.0,0.0,2.0,0.06573705179282868,0,1,0,40.8515847160604,-73.86441475231047,1021759.69232458,249561.78952067305,154,199,300,266,1
0.0,0.0,2.0,0.07096774193548387,0,1,0,40.8396958513961,-73.91111300421969,1008845.01031528,245213.676990603,118,282,98,72,223
1.0,1.0,11.0,0.10394412489728841,0,1,0,40.75785332640745,-73.91053832202948,1009034.47742668,215395.76405589105,48,260,170,179,249
1.0,0.0,4.0,0.0703971119133574,1,0,0,40.582922088143135,-73.96342142715795,994410.348267943,151652.785968917,205,252,218,143,125
1.0,0.0,3.0,0.08,1,0,0,40.6738604646118,-73.89602313857631,1013092.08759708,184799.06207714693,80,55,157,78,56
0.0,0.0,0.0,0.08256880733944955,0,1,0,40.74321565493945,-74.00246546368318,983566.8173332772,210050.141984006,238,289,327,128,279
1.0,0.0,1.0,0.17995910020449898,0,1,0,40.79291032093957,-73.94715747998642,998881.796866508,228159.961747648,187,160,304,40,141
0.0,0.0,0.0,0.14285714285714285,1,0,0,40.81745261524293,-73.94713931285688,998881.431405502,237101.58659096,90,149,331,329,189
0.0,0.0,2.0,0.09936575052854123,0,1,0,40.71184608463976,-73.93973218519481,1000958.13889124,198626.970866648,34,121,321,259,104
1.0,0.0,2.0,0.13948919449901767,0,1,0,40.711979294990094,-73.93917476213808,1001112.64041718,198675.61023592603,33,121,321,259,104
0.0,1.0,3.0,0.1859903381642512,0,1,0,40.73760459585407,-73.85342850909137,1024868.52110484,208039.827915503,166,310,320,334,173
0.0,0.0,1.0,0.05907172995780591,0,1,0,40.72228680440021,-73.99051717808567,986878.5257029808,202425.23866362,267,68,10,86,88
1.0,0.0,5.0,0.0967741935483871,1,0,0,40.684721325485015,-73.99099314732364,986747.99991336,188738.997253116,281,202,219,42,9
0.0,0.0,0.0,0.12962962962962962,0,1,0,40.765652953708326,-73.95956233519067,995451.546808947,218227.353891981,196,130,131,135,206
1.0,1.0,2.0,0.15759312320916904,0,1,0,40.71234051142413,-73.98401338497996,988681.961293362,198801.762263261,83,86,10,68,88
1.0,1.0,3.0,0.07293354943273905,0,1,0,40.78330470209375,-73.94590042008831,999232.031013895,224660.5185873769,160,139,31,304,187
0.0,0.0,1.0,0.034782608695652174,1,0,0,40.6695487629456,-73.95514049270359,996694.362275074,183214.2552842461,225,183,81,16,106
1.0,0.0,4.0,0.15800865800865802,1,0,0,40.68398224352315,-73.98029589827242,989714.8822832508,188470.2144562869,219,37,142,281,202
0.0,0.0,1.0,0.09859154929577464,0,1,0,40.763650862383216,-73.99088853436326,986774.022611783,217495.471742093,278,85,87,12,204
1.0,0.0,3.0,0.1191806331471136,0,1,0,40.70563924481953,-74.01297455017796,980652.710309582,196360.15069021305,67,171,88,335,184
1.0,1.0,3.6,0.040376850605652756,0,1,0,40.7326994232301,-73.98433603588042,988591.186585314,206219.125053675,203,215,337,237,325
1.0,1.0,0.0,0.13381995133819952,0,1,0,40.82717112326557,-73.90417221252942,1010770.51694183,240652.483198628,102,50,115,234,93
1.0,0.0,1.4,0.11173184357541899,1,0,0,40.66961786144547,-73.97892875909895,990095.313701381,183236.946416364,20,19,106,16,81
1.0,1.0,3.0,0.26545454545454544,0,0,1,40.75630321189787,-73.9250034525227,1005027.53997658,214827.245192824,260,249,277,27,170
1.0,0.0,2.0,0.027777777777777776,0,1,0,40.77506261083342,-73.98575391942335,988195.717400806,221653.340698571,341,13,343,159,82
0.0,0.0,3.0,0.03553299492385787,0,1,0,40.82709786972715,-73.90389928823154,1010846.07849419,240625.87701822,115,46,102,234,93
1.0,0.0,2.0,0.08450704225352113,0,1,0,40.87049916576592,-73.89721353643812,1012677.8192085,256440.70495689104,52,75,11,324,5
1.0,0.0,3.0,0.109375,0,1,0,40.87037728454207,-73.89693332298772,1012755.37051009,256396.389927408,51,75,11,324,5
0.0,0.0,2.0,0.1678832116788321,0,1,0,40.69516034262288,-73.9276167776118,1004321.93453375,192550.40128354105,286,308,147,58,22
0.0,0.0,1.0,0.037267080745341616,1,0,0,40.6847376010444,-73.94742289359158,998831.960232046,188749.174638685,224,14,240,312,220
1.0,1.0,1.0,0.06349206349206349,1,0,0,40.66701004128184,-73.89531840558097,1013290.55559155,182303.492873016,80,56,78,29,193
1.0,0.0,2.0,0.15139442231075698,1,0,0,40.66667170571423,-73.89522618782354,1013316.28587831,182180.258341711,78,55,80,29,193
1.0,0.0,1.0,0.22440944881889763,1,0,0,40.66557359290329,-73.912187667281,1008611.2455696,181775.012501662,6,66,302,336,323
1.0,0.0,2.0,0.016129032258064516,0,1,0,40.695779065814094,-73.91520280617459,1007764.12108793,192778.90875324,22,116,117,292,147
0.0,0.0,2.2,0.037037037037037035,1,0,0,40.6013603485832,-73.7632176495131,1050002.26709676,158457.057043556,60,239,244,254,61
1.0,0.0,3.0,0.1842818428184282,1,0,0,40.58652520656777,-73.82339893545695,1033301.403941,153012.81628117198,239,244,59,306,257
0.0,1.0,2.0,0.10980392156862745,1,0,0,40.66804507055241,-73.7583023373958,1051300.16572618,182755.733323174,62,254,338,236,250
1.0,0.0,3.0,0.28087649402390436,1,0,0,40.66847803802085,-73.75816722902456,1051337.21101682,182913.578474597,61,338,254,236,250
1.0,0.0,1.0,0.031496062992125984,0,1,0,40.80776568446266,-73.93995835424721,1000871.48427341,233573.57357594,158,140,141,127,24
0.0,0.0,0.4,0.017543859649122806,0,1,0,40.8483244810367,-73.89354989547894,1013700.89574211,248362.82748970305,97,270,74,300,223
0.0,0.0,1.0,0.012269938650306749,0,1,0,40.81720285720246,-73.91175812055413,1008674.76217168,237018.478324879,191,3,156,290,307
1.0,0.0,1.0,0.023809523809523808,1,0,0,40.66627236061389,-73.92391372168342,1005357.93681095,182026.549853075,57,6,323,136,273
1.0,0.0,3.0,0.19613259668508287,1,0,0,40.7054250588908,-74.01296120316022,980656.399322377,196282.115783935,44,171,88,335,184
0.0,0.0,1.0,0.15966386554621848,0,1,0,40.71735968047609,-73.98950606340519,987159.009741276,200630.168187291,10,86,88,83,36
0.0,1.0,3.0,0.13509060955518945,0,1,0,40.86096146338974,-73.9300632959218,1003595.28461467,252956.791899253,330,333,122,301,4
1.0,0.0,2.0,0.04710144927536232,0,1,0,40.82097869739511,-73.88096448321888,1017196.36110789,238404.236264876,91,198,201,229,313
0.0,0.0,2.0,0.09917355371900827,0,1,0,40.836229084606295,-73.8902705800502,1014613.68352888,243957.14383570003,101,198,246,95,74
1.0,1.0,1.0,0.2345679012345679,0,1,0,40.83942084354956,-73.90188457221085,1011398.62643747,245116.207035034,98,74,223,95,73
1.0,1.0,3.0,0.17943107221006566,0,1,0,40.833918177083454,-73.90256264986294,1011213.23185851,243111.172967277,96,95,246,98,72
1.0,0.0,1.0,0.03333333333333333,0,1,0,40.84182672985439,-73.89784812693496,1012514.49175426,245994.037547238,97,72,98,223,95
0.0,0.0,1.0,0.008528784648187633,0,1,0,40.87054000039903,-73.8975406096081,1012587.34268997,256455.476633385,324,11,51,52,5
0.0,0.0,2.0,0.23118279569892472,0,1,0,40.88811717326213,-73.85288124764907,1024928.08199578,262877.128740257,134,151,114,152,272
1.0,1.0,2.0,0.09626436781609195,0,1,0,40.832604286311664,-73.87874964953201,1017803.51413718,242640.700010792,313,229,201,198,101
0.0,1.0,1.0,0.06666666666666667,1,0,0,40.66671600299901,-73.89488929362994,1013409.727446,182196.509049136,56,80,55,29,193
1.0,1.0,13.8,0.2262605579728692,0,0,1,40.527833417332616,-74.1924323767639,930754.441304492,131639.29062291302,231,291,296,148,172
0.0,0.0,2.0,0.08708708708708708,1,0,0,40.66705063070175,-73.89499127865929,1013381.28870801,182318.389354822,55,78,56,29,193
1.0,0.0,1.0,0.09829059829059829,1,0,0,40.67005674919287,-73.96103414882681,995059.335850188,183398.546799194,106,16,19,183,41
0.0,0.0,1.0,0.012861736334405145,0,1,0,40.76798831636322,-73.98862311172535,987401.375894494,219075.822981032,126,12,85,87,159
0.0,0.0,1.0,0.10052910052910052,0,1,0,40.71339355423471,-73.98661290403824,987961.23929763,199185.296885378,39,86,10,68,88
0.0,1.0,3.0,0.2835820895522388,0,0,1,40.71827664500029,-73.976075370976,990882.022220995,200964.977838614,39,83,10,86,68
1.0,0.0,2.0,0.06341463414634146,0,1,0,40.76545758182302,-73.99300523313309,986187.610428016,218153.665324354,87,12,43,278,82
1.0,1.0,0.0,0.13559322033898305,0,1,0,40.71698836955439,-73.98935715744109,987200.304194905,200494.89325299105,10,68,88,83,36
1.0,1.0,1.0,0.14640198511166252,0,1,0,40.7655705918482,-73.99326311279373,986116.1723833572,218194.833011106,12,85,43,278,82
1.0,0.0,1.0,0.2647058823529412,0,1,0,40.71638238378283,-73.99350690979142,986049.967008359,200274.001616397,68,86,10,83,36
1.0,0.0,3.0,0.08121827411167512,1,0,0,40.80253871058471,-73.9540268625217,996977.862568952,231666.846180596,329,141,187,31,185
0.0,0.0,3.0,0.05405405405405406,0,1,0,40.81733222822147,-73.94738767101096,998812.714131836,237057.683888341,32,149,331,329,189
1.0,0.0,1.0,0.04251700680272109,0,1,0,40.82043605431561,-73.89298261467172,1013870.25516849,238202.239922702,328,288,190,93,234
1.0,1.0,2.0,0.12200435729847495,0,1,0,40.82196791898357,-73.85552171559064,1024237.74824921,238775.2370483289,94,265,155,70,201
0.0,0.0,1.0,0.048,0,1,0,40.82749272437401,-73.89719104687674,1012702.42903795,240771.8447412889,234,190,246,115,50
1.0,0.0,1.0,0.08333333333333333,0,1,0,40.821877673685634,-73.85612607338022,1024070.53223338,238742.08214863687,92,265,155,70,201
1.0,0.0,2.0,0.13821138211382114,0,1,0,40.8350109179251,-73.90043507496307,1011801.529658,243509.960694506,73,96,246,98,72
1.0,0.0,2.0,0.21241050119331742,0,1,0,40.83396773258612,-73.90386142788944,1010853.80942333,243128.830747796,73,95,246,98,72
0.0,0.0,2.0,0.07381370826010544,1,0,0,40.84524674266198,-73.89716851969193,1012701.07005435,247240.295923352,74,64,223,72,98
1.0,1.0,2.0,0.14583333333333334,0,1,0,40.839147639133074,-73.90206944375667,1011347.58361759,245016.611288925,72,74,223,95,73
1.0,1.0,3.0,0.16981132075471697,0,1,0,40.85996724670546,-73.88879837871407,1015010.08302356,252606.36221139,2,1,283,270,52
1.0,0.0,3.0,0.18181818181818182,0,1,0,40.87814957351821,-73.91311043430615,1008278.42508587,259223.289801595,305,4,271,230,8
1.0,0.0,4.0,0.03886397608370702,0,1,0,40.8368324993692,-73.88770670195008,1015322.86267513,244177.889167103,71,198,300,77,313
0.0,0.0,2.0,0.038202247191011236,0,1,0,40.82722391603723,-73.90442978482096,1010699.21237834,240671.63964852103,46,50,115,234,93
1.0,1.0,2.0,0.14634146341463414,0,1,0,40.71544981416614,-73.95497403722071,996731.942402199,199937.379283156,133,104,120,261,207
1.0,1.0,2.0,0.25329428989751096,0,1,0,40.71520472307666,-73.95458029240288,996841.141274985,199848.141494643,103,133,120,261,207
0.0,0.0,2.0,0.08445945945945946,1,0,0,40.65918079754624,-73.94313843550091,1000026.27410743,179438.84763034,225,41,0,132,66
0.0,0.0,1.0,0.15865384615384615,0,1,0,40.67012179349045,-73.96136988842952,994966.189441433,183422.2030299889,81,19,16,183,41
0.0,1.0,1.0,0.10404624277456648,0,1,0,40.74451322315896,-73.93504335936011,1002249.20352769,210529.551402757,208,108,209,179,277
1.0,1.0,1.0,0.27184466019417475,0,1,0,40.74428549970047,-73.93697675157267,1001713.52871279,210446.193143415,208,107,209,277,249
1.0,1.0,10.0,0.18181818181818182,0,0,1,40.59744013622724,-74.12447486642974,949682.4217523392,156964.516564114,296,148,291,172,226
0.0,0.0,1.0,0.0425531914893617,1,0,0,40.59358355944392,-73.93692519118345,1001767.35052924,155541.214072339,268,145,111,28,205
1.0,1.0,12.0,0.13846153846153847,0,0,1,40.609915603749016,-73.94807977862936,998665.934185192,161489.362797754,165,110,268,144,28
1.0,1.0,14.0,0.08005029337803855,0,1,0,40.67900101142758,-73.83646802338329,1029608.53802898,186697.132132692,182,138,315,258,314
1.0,1.0,15.0,0.20830993823694555,0,1,0,40.73860035257034,-73.8242729220213,1032947.50490479,208417.476777732,194,166,318,228,35
0.0,0.0,3.0,0.08032128514056225,0,1,0,40.87504046700075,-73.86109801636327,1022663.71634239,258109.057761833,134,272,152,153,151
0.0,0.0,2.0,0.06441717791411043,0,1,0,40.827039224022535,-73.90363018886283,1010920.57579933,240604.592073894,50,46,102,234,93
1.0,1.0,2.0,0.017316017316017316,0,1,0,40.69680628737677,-73.91173998151201,1008723.97922135,193154.10427143693,292,117,22,58,147
1.0,1.0,2.0,0.11825192802056556,0,1,0,40.69716726349792,-73.91175359075525,1008720.07297135,193285.614688103,292,116,22,58,147
1.0,0.0,2.0,0.0777027027027027,0,1,0,40.83980336687047,-73.91150343961368,1008736.93739861,245252.739490603,282,26,98,72,223
1.0,1.0,6.0,0.16972477064220184,0,1,0,40.840482341483714,-73.83888254643075,1028830.6160493,245528.744692532,266,25,92,94,265
1.0,0.0,3.0,0.18057921635434412,1,0,0,40.711898364324405,-73.96029207016724,995258.282250452,198642.765285987,133,103,104,146,276
1.0,0.0,2.4,0.19622641509433963,0,1,0,40.709793089582526,-73.94408538447844,999751.7723752692,197878.20247966,321,259,33,34,276
1.0,0.0,1.4,0.08409986859395532,0,1,0,40.84906485587616,-73.93080071851759,1003394.72925605,248622.241311465,333,301,69,195,330
1.0,1.0,2.0,0.08557046979865772,0,0,1,40.59384476481535,-73.98566199776099,988231.983519573,155630.396983541,253,322,339,245,143
1.0,0.0,2.0,0.1483050847457627,1,0,0,40.69786637738003,-73.98085755819703,989558.00193929,193528.576848074,176,137,174,219,42
0.0,0.0,2.0,0.019230769230769232,1,0,0,40.57713751154208,-73.9857287521889,988214.435990587,149543.522094748,143,252,218,205,322
1.0,1.0,5.0,0.18160190325138778,0,1,0,40.76786588197722,-73.98830506989955,987489.47881569,219031.227675242,82,12,85,87,43
1.0,0.0,1.0,0.08583690987124463,0,1,0,40.79896656962973,-73.93371086356291,1002603.41898985,230368.994692266,140,141,304,158,63
0.0,0.0,2.0,0.08108108108108109,0,1,0,40.7436636409239,-74.00265129713091,983515.327622943,210213.359061144,289,327,238,30,279
1.0,1.0,0.0,0.29024943310657597,0,1,0,40.7419339958626,-73.99203707729225,986456.576983252,209583.28346665105,188,181,186,325,237
1.0,1.0,0.0,0.12391304347826088,0,1,0,40.765445827311176,-73.95971990174056,995407.934355914,218151.870800194,131,38,196,135,206
0.0,0.0,0.0,0.1836734693877551,0,1,0,40.76553338839504,-73.95996206570503,995340.838274326,218183.741438949,130,196,38,135,206
1.0,0.0,2.0,0.10714285714285714,1,0,0,40.64945087121474,-73.95817080656559,995857.227137915,175891.616694014,0,105,225,144,41
1.0,1.0,3.0,0.22135922330097088,1,0,0,40.71567877488274,-73.95532967510394,996633.3111622628,200020.74616453,103,104,120,261,207
0.0,0.0,3.4,0.1391304347826087,0,1,0,40.87530020722021,-73.86098872255015,1022693.79163678,258203.739244153,114,151,152,272,153
1.0,1.0,2.0,0.3460837887067395,0,0,1,40.77024911172401,-73.95329727554831,997186.123989592,219902.7496874389,38,196,130,131,139
0.0,0.0,1.0,0.10309278350515463,1,0,0,40.68002191056139,-73.92183273656597,1005930.77569091,187036.409412016,323,273,147,157,66
1.0,1.0,0.0,0.23974082073434125,1,0,0,40.694737519494296,-73.98835981848852,987477.853930125,192388.275898937,124,219,176,37,202
1.0,0.0,1.0,0.09004739336492891,0,1,0,40.69280373082783,-73.86858377125427,1020693.12036234,191710.861859292,315,258,314,164,235
0.0,0.0,3.0,0.011730205278592375,0,1,0,40.780928414613655,-73.95548959721727,996576.898822274,223793.261777812,40,135,160,31,187
0.0,0.0,0.0,0.0,0,1,0,40.80568276571231,-73.93503808685395,1002234.13718121,232815.664705352,158,63,141,127,247
0.0,0.0,1.0,0.0,0,1,0,40.80275096523185,-73.94236419761162,1000206.67064836,231746.087514012,158,63,140,127,89
0.0,0.0,3.0,0.0,1,0,0,40.682504088836296,-73.96903200934395,992839.08338586,187932.583481436,175,42,14,219,312
0.0,0.0,1.0,0.0,1,0,0,40.58796423804369,-73.98139158049587,989418.42889419,153488.19539452,322,123,245,339,253
0.0,0.0,4.0,0.25083056478405313,1,0,0,40.63050257823517,-73.9532198604663,997234.756941953,168988.935249731,165,132,0,111,298
1.0,1.0,3.0,0.27117031398667935,0,0,1,40.580252469701314,-73.93512609881802,1002270.59744282,150684.728885908,268,110,28,205,218
0.0,0.0,2.8,0.108,0,1,0,40.705416119852266,-73.95592577024044,996469.945564143,196281.667373782,276,120,259,321,104
1.0,1.0,2.0,0.25306748466257667,1,0,0,40.688539565764906,-73.92081860539055,1006209.25388696,190139.889735373,53,58,136,286,308
1.0,1.0,5.0,0.37421875,0,0,1,40.56796258405468,-74.11567367759919,952112.393031345,146221.765766895,172,109,296,291,226
1.0,1.0,7.0,0.1734906315058987,0,1,0,40.81835460522813,-73.9501466588042,998048.8342547972,237429.725948367,90,32,331,329,189
0.0,0.0,2.0,0.20535714285714285,1,0,0,40.87411144655622,-73.83283170033556,1030481.47915411,257784.236218712,169,76,134,114,272
1.0,0.0,3.0,0.1752021563342318,0,1,0,40.87544453505826,-73.86151606667458,1022547.87076403,258256.0925343769,152,134,114,153,272
0.0,0.0,1.0,0.06451612903225806,0,1,0,40.875187866142014,-73.86163743571862,1022514.45377027,258162.524951849,153,151,114,272,134
1.0,0.0,3.0,0.2066420664206642,0,1,0,40.87493729722688,-73.86174670774194,1022484.37847588,258071.185168905,152,272,114,151,134
1.0,0.0,2.0,0.13135593220338984,0,1,0,40.85997528985129,-73.86030065426101,1022892.98232814,252620.5819750189,25,272,153,114,152
0.0,0.0,1.0,0.0111731843575419,0,1,0,40.82101878347552,-73.85527448847084,1024306.74540884,238429.546017448,265,92,94,70,201
0.0,0.0,0.0,0.009900990099009901,0,1,0,40.819123885210296,-73.90502543107814,1010537.56604957,237720.326535517,3,191,288,65,328
0.0,0.0,2.0,0.0,1,0,0,40.677373201551966,-73.90400983733284,1010875.25988936,186076.323266035,29,323,55,80,56
0.0,0.0,1.0,0.1111111111111111,1,0,0,40.80725557714398,-73.93891870868516,1001159.42159305,233387.922444625,63,140,141,127,24
1.0,1.0,5.0,0.28122605363984676,0,0,1,40.772581499183104,-73.9883666278437,987472.1991869,220749.28174189,341,343,49,13,82
1.0,1.0,2.0,0.19801980198019803,0,1,0,40.79020049480979,-73.94404104935055,999745.349581197,227173.214751075,304,31,187,40,127
1.0,0.0,2.0,0.12091503267973856,0,1,0,40.74649314989231,-73.98071089582034,989594.768751601,211244.81695254,241,188,181,129,227
1.0,1.0,10.0,0.25869652139144345,1,0,0,40.64496215088781,-74.08179493801286,961551.1115143772,174264.079122934,180,226,167,251,177
1.0,1.0,8.0,0.08490566037735849,0,1,0,40.88140965431849,-73.88709890194632,1015470.11522105,260419.26953974305,5,11,52,51,75
0.0,0.0,4.0,0.05767350928641251,1,0,0,40.67858220037907,-73.87585696212678,1018683.53140802,186526.60778241305,315,138,314,258,29
1.0,1.0,14.0,0.17099511442530213,0,0,1,40.62016965890172,-73.95921840905744,995571.493377351,165223.546550186,144,111,132,0,280
1.0,1.0,11.0,0.2482398956975228,0,1,0,40.72973626195207,-73.84494565452937,1027224.39806781,205177.198783357,35,113,318,211,264
1.0,1.0,18.4,0.27264472190692396,0,0,1,40.62721617863451,-74.03943283253287,973304.094920492,167790.60868759098,251,180,162,217,332
1.0,1.0,7.0,0.1628175519630485,0,1,0,40.71149198542775,-73.90900211419269,1009477.61515774,198505.317605148,117,22,292,116,58
1.0,1.0,7.0,0.08281174771304767,1,0,0,40.87408655029335,-73.83209414427984,1030685.47220966,257775.555663157,150,76,134,114,272
1.0,1.0,5.9,0.15746519443110898,0,1,0,40.76574686090932,-73.933274956483,1002733.32741811,218266.021505023,260,48,249,277,135
1.0,0.0,3.0,0.10234899328859061,1,0,0,40.711376297371146,-74.00143250317433,983852.862113843,198450.068694593,88,44,67,86,68
